migration_id,citizen_id,old_address,new_address,reason,date
6c53e227-4aaa-423b-9389-86ea9a69a0bc,beb34476-5d92-416c-9dfc-790e5ed1d644,"22/63, Anne Ganj, Miryalaguda-083139","94/20, Rajagopalan Ganj, Bokaro-414772",Marriage,2023-12-04
a7bc546e-9162-4739-9290-1626f56186b5,68496cba-503b-445f-88b0-ba94f61c90c2,"75/819, Dar Chowk, Kavali-772240","00/170, Anne Zila, Gorakhpur-172389",Job,2021-01-06
6679e2d0-a57d-485a-a14b-b09fcb11f24d,c9179faf-f971-483a-bd2f-d4da8d1cfe5e,"71/32, Sridhar Nagar, Jodhpur 661451","76/705, Shere Marg, Surendranagar Dudhrej-320077",Education,2020-04-16
eccf23b1-2aba-4184-93e2-0dab975ca416,76c32072-a912-419e-91a9-4b785009094f,"H.No. 26, Parsa Circle, Howrah-059987","35/78, Johal Zila, Tadepalligudem-343030",Job,2024-12-25
bdf333e3-1f67-4b9a-9c53-dc15dc9834c7,846c0e00-8973-487b-aef4-ae438d90ac38,"06, Soman Marg, Visakhapatnam 021554","77/98, Baral, Ozhukarai 739979",Better Housing,2022-01-08
92c3a843-4868-4fb0-a544-ca3a34e3283c,e3c4abc4-0c20-40c2-adca-a7b8d6412859,"14/871, Saxena Zila, Bulandshahr-231489","02, Mannan Chowk, Bhatpara 254911",Job,2022-10-13
04993bf5-b01c-4b7c-b626-5fa647a6f8f4,ea833e0a-3e7b-449e-82fc-4d87afe3090c,"H.No. 890, Natt, Tirupati 710349","47/866, Devan, Etawah-044115",Job,2020-01-02
5a3704ec-66e6-48f9-9a20-6d9a52d9c916,00c5012f-0503-48c3-9294-3109a2aa75a9,"H.No. 630, Gaba Street, Kollam-074504","58/06, Kamdar Path, Jehanabad 380328",Marriage,2023-01-05
ffe031be-bf5d-4d2a-b068-0887ce00490e,dda4dbde-564d-46cf-9303-20ae32641ad6,"H.No. 040, Chauhan Ganj, Ulhasnagar-064336","42, Raman Circle, Bijapur-289504",Better Housing,2020-05-02
be8e3e6f-17a6-429b-810a-cb58d80b7f71,87f26a87-1820-4a51-a14b-1431e26d8069,"77/15, Ahuja Marg, Agartala-610776","H.No. 72, Walia Ganj, Sirsa 079474",Marriage,2023-11-26
31ae2390-d333-4dee-a21c-2aa9f7084dd2,11459d7a-7bcc-49f3-a8a3-20289912563a,"H.No. 53, Bhardwaj Ganj, Imphal 226185","336, Mishra Street, Thiruvananthapuram-356167",Job,2019-08-28
9404ee13-7289-4c24-9560-4c76581b5508,2778f0c7-a141-49b3-a5f2-136390390da6,"14, Seth Street, Amravati-844895","24, Seshadri Circle, Khammam 547403",Better Housing,2019-08-04
7415a3a6-c23f-4241-81c6-167bca265f0a,d5c51d43-2d44-478b-9ae5-7a109776c82b,"48/33, Hans, Kirari Suleman Nagar-573436","71/75, Koshy Nagar, Sri Ganganagar-392405",Job,2020-12-31
31443be7-26bb-4144-9b74-674d40755375,f80792b1-7074-4303-b164-c447ad45e16a,"90/130, Varughese Chowk, Raichur-550904","913, Kalita Ganj, Rewa 749518",Education,2023-06-11
6d047dd3-e328-444f-9614-0af4a7f6d4f5,080d52ab-779f-458f-bc18-db16018b58f4,"H.No. 51, Balasubramanian, Gulbarga 931464","42/006, Rattan Path, Amroha-792184",Job,2021-08-27
1305d9f3-17d1-4632-a155-cb0375e93a9f,a75df766-9007-4f5e-b2b0-d5717778ede0,"14/78, Hayer Chowk, Allahabad-473870","76/487, Banerjee Circle, Bhiwandi 198380",Better Housing,2021-05-04
3a831b0f-adf8-46f4-ba97-ad818c16538a,dbc1ab4f-f1fd-49ac-9b17-39f3d1dc376e,"127, Palan Circle, Mumbai 662715","661, Pandit Street, Mathura 024555",Marriage,2022-07-29
230886d1-0337-40bb-ab34-f0b4ccb5a961,8afb3b34-9ea8-43ef-b3a3-73644827b512,"497, Shanker Zila, Chinsurah 494123","860, Sant Nagar, Rourkela-187476",Better Housing,2023-07-31
bffa826a-3d0d-4a4d-a3b9-2e9c75f43857,21ed1de5-08a2-44fb-9f9e-e8f63529d7d5,"63/92, Ben Circle, Sangli-Miraj & Kupwad-179915","339, Contractor Marg, Medininagar-734482",Job,2020-09-30
6b14627e-366e-4fcd-849d-57e4ae030a42,04775233-a810-4dff-b6e1-9c15817b337e,"57, Rai Circle, Eluru-073849","08/117, Sahota Road, Bhavnagar-331606",Education,2023-05-04
1257edb6-78ef-4f8b-bf2f-dae9ed02d98e,accb5713-6f10-410c-b82b-8859a336e31c,"88, Varma Marg, Proddatur 650125","H.No. 564, Dass Ganj, Panchkula 288220",Marriage,2020-11-09
35d165f3-5e08-4b2e-9362-a11d927e5314,d3fc7ca1-fd75-48e5-865a-53072ed135be,"48/091, Sood, Bidhannagar-430126","67/68, Sundaram Road, Tadepalligudem 656739",Job,2022-03-06
cfc92ced-80cc-403e-b1b9-56037a7e8283,8d8f7419-99b9-4471-95e7-81c583711bd6,"69, Sekhon Road, Shimoga 793832","14, Dhingra, Rajkot-480685",Job,2021-12-18
38ad2c41-b525-4125-9632-e374b888a934,f8065d18-acbe-465d-b125-bbe2629ab125,"42/699, Gandhi Circle, Sikar-230752","695, Salvi Marg, Patiala-592189",Job,2021-10-14
cd02066f-90ff-40bd-bf86-b172ac8d5ba7,dddbb32f-4491-4fa2-a94b-8e527ee482f2,"H.No. 029, Reddy Circle, Haridwar 934649","33/88, Dhaliwal Ganj, Khora  010044",Marriage,2023-08-25
d32a8eb3-7376-4d6c-9d90-d6454e413dc8,0466b515-ce12-4240-b680-d0b1d7ac69ac,"322, Rege Path, Coimbatore-676867","63/680, Mukherjee Zila, Delhi-332665",Education,2024-11-22
0fbbed41-7f36-4a92-9e75-4b58fc79a5b9,1434f02e-fb30-4343-80c5-7261f6d9cb79,"29, Chandra Nagar, Agra 352400","10/06, Sura Path, Bulandshahr 592732",Marriage,2021-09-18
b750bb8b-9c2a-4ca2-801a-87a45a6f3c53,d8fdaab6-b5a0-4bf1-a01b-2ae288533ac5,"23, Radhakrishnan Circle, Kolhapur-686260","H.No. 46, Varkey Marg, Ahmednagar-056630",Marriage,2023-04-10
e063ce22-a517-483f-a9a4-2d8b5693ae32,d632a703-2084-43e6-80eb-aaf55fa6bb04,"90/42, Manda Road, Ambarnath 322491","H.No. 27, Mane Ganj, Vellore 718945",Job,2021-09-28
653ff207-c842-4f5a-ba0e-64c8869e763b,188cacde-0162-4eda-bd6b-a2f43f166a10,"H.No. 62, Dhingra Marg, Kumbakonam 089992","H.No. 45, Krish Marg, Hosur-859659",Marriage,2020-09-23
3acb0b07-5fa3-4f08-bbc3-ffebce663d41,1699a4d2-164c-4c15-9664-838d9fdd75e7,"91/674, Raja Street, Anand-341310","09, Wali Marg, Jabalpur 717598",Marriage,2022-09-27
229df395-6e84-47a6-9421-5d0880e3edd0,b19f3da9-21f1-46fd-87e4-8c5e04cb7921,"970, Aggarwal Zila, Serampore 507780","08/290, Andra, Kavali-568864",Marriage,2019-06-13
ef5560a5-af3a-4254-ae85-10e80732e4e6,77e49546-e34a-4aed-abad-e1de9910275b,"H.No. 43, Raman Road, Shimla 019516","47, Majumdar Circle, Guwahati 292477",Job,2019-12-31
